story,when,where
"¨A man was masturbating in the store I used to work at, it was only me and him there. I called the security of the mall. The man somehow convinced the security men that I didn't understand what was going on because my mother language is not German. I saw his penis, saw his face, saw the act. Harassment is universal. He got away with it, he simply left. The manager of the store arrived later, I told her and she said she was sorry, but I should start wearing looser clothes because Germany is not Brazil (where I'm from). She told me she reported it to my boss, but since she never said anything or called me, I'll never know. I quit after that.¨

",2021,Mall of Berlin 
"¨I was at a kiosk buying something and a man came over and started flirting with me in German. I responded something in English along the lines of „what are you asking me?“ and he instantly had a disgusted look on his face and said „eeee Ausländer“ and left me alone.¨
",2016,Wittenbergplatz 
¨Receptionist mistreated me and my daughter because we didn’t speak German¨,2021,10963 Berlin
¨Someone didn’t let me get out of the station and spat on me.¨,2021,Vera Britain  Ufer
"¨I'm Southeastern Asian, so I get the ""ni hao"" sometimes. More recently, comments to do with spreading coronavirus.¨",2011-2021,Charlottenburg
"¨I do look young for my age so I often get judged for being in situations where ""cute young girls"" should not be, i.e. the bike shop. I get treated like I am in the wrong place and get condescending comments or suggestions on what I should be doing, normally by white guys.¨",2011-2021,"Gritznerstraße 57, 12163 Berlin"
¨Yesterday I got treated very badly in a bike shop by a guy very likely because I am a woman. He was very condescending and treated me like I knew nothing when it's the opposite and I could put together a bike from scratch.¨,2011-2021,Treptown 
"¨I frequently get stopped by older white men who tell me off for doing something ""wrong"" or tell me I should be doing something. I'm 100% sure if I was also a white male, they would never have spoken to me that way.¨",2011-2021,Kreuzberg
"¨I have experienced some odd catcalling but I ignore this. Generally around town, especially in summer when I am wearing shorts or skirts. In winter they seem to leave me alone¨",2011-2021,Berlin-Lichtenberg
Xenophobia,2017,Schlachtensee
Xenophobia,2019,"Hermannplatz, Berlin"
Xenophobia,2021,"Karl-Marx-Straße 83, 12043 Berlin"
Sexual Harassment,2021,"U Stadtmitte, Berlin"
Sexual Harassment,2020,holtzmarkstrtasse
